msoa11cd,ladnm,Wealth_Decile,IMD_2010,IMD_2019,IMD_Change,Inflow_Wealthier,Outflow_Poorer,Total_Inflow,Total_Outflow,Net_Cascade,Cascade_Ratio,Pct_Inflow_Wealthier
E02000001,City of London,9,11.60106775,14.805,3.2039322499999994,28.0,789.0,1296.0,1043.0,-761.0,0.035487959442332066,2.1604938271604937
E02000002,Barking and Dagenham,1,42.8781925,34.585750000000004,-8.292442499999993,335.0,0.0,420.0,365.0,335.0,,79.76190476190477
E02000003,Barking and Dagenham,5,25.41016,24.88083333333333,-0.5293266666666696,210.0,332.0,766.0,745.0,-122.0,0.6325301204819277,27.415143603133156
E02000004,Barking and Dagenham,6,22.7335325,23.954250000000002,1.2207175000000028,112.0,127.0,456.0,322.0,-15.0,0.8818897637795275,24.561403508771928
E02000005,Barking and Dagenham,3,32.804145999999996,30.9286,-1.8755459999999964,321.0,126.0,731.0,577.0,195.0,2.5476190476190474,43.912448700410394
E02000007,Barking and Dagenham,2,40.54034,36.473400000000005,-4.066939999999995,359.0,73.0,644.0,647.0,286.0,4.917808219178082,55.74534161490683
E02000008,Barking and Dagenham,3,35.527414285714286,34.80271428571429,-0.7246999999999986,244.0,168.0,772.0,625.0,76.0,1.4523809523809523,31.606217616580313
E02000009,Barking and Dagenham,4,30.546723333333333,36.208499999999994,5.661776666666661,204.0,337.0,768.0,704.0,-133.0,0.6053412462908012,26.5625
E02000010,Barking and Dagenham,3,34.724326000000005,34.6806,-0.04372600000000659,198.0,167.0,526.0,507.0,31.0,1.18562874251497,37.6425855513308
E02000011,Barking and Dagenham,5,25.54057,25.48575,-0.054819999999999425,81.0,242.0,411.0,430.0,-161.0,0.3347107438016529,19.708029197080293
E02000012,Barking and Dagenham,7,20.34209,20.5994,0.25731000000000037,22.0,416.0,526.0,619.0,-394.0,0.052884615384615384,4.182509505703422
E02000013,Barking and Dagenham,2,36.96207,35.986599999999996,-0.9754700000000014,336.0,81.0,620.0,488.0,255.0,4.148148148148148,54.19354838709678
E02000014,Barking and Dagenham,2,36.57574666666667,36.68716666666666,0.11141999999999541,243.0,98.0,507.0,593.0,145.0,2.479591836734694,47.928994082840234
E02000015,Barking and Dagenham,1,44.5030775,38.8095,-5.6935775000000035,363.0,0.0,460.0,414.0,363.0,,78.91304347826087
E02000016,Barking and Dagenham,2,39.5605975,34.080749999999995,-5.479847500000005,581.0,219.0,1268.0,1158.0,362.0,2.65296803652968,45.82018927444795
E02000017,Barking and Dagenham,5,26.258841999999998,27.4704,1.2115580000000037,129.0,456.0,659.0,806.0,-327.0,0.28289473684210525,19.575113808801213
E02000018,Barking and Dagenham,2,36.75792199999999,36.2426,-0.5153219999999905,302.0,121.0,573.0,669.0,181.0,2.4958677685950414,52.70506108202443
E02000019,Barking and Dagenham,3,33.491735999999996,32.1212,-1.3705359999999942,204.0,157.0,701.0,514.0,47.0,1.2993630573248407,29.101283880171184
E02000020,Barking and Dagenham,3,32.663078,32.8872,0.22412200000000126,277.0,257.0,785.0,768.0,20.0,1.0778210116731517,35.28662420382165
E02000021,Barking and Dagenham,4,30.527017999999998,32.107,1.579982000000001,160.0,299.0,559.0,566.0,-139.0,0.5351170568561873,28.622540250447226
E02000022,Barking and Dagenham,1,51.3073,38.6168,-12.6905,407.0,0.0,541.0,764.0,407.0,,75.23105360443623
E02000023,Barking and Dagenham,1,44.653687500000004,39.55325,-5.100437500000005,403.0,0.0,587.0,500.0,403.0,,68.6541737649063
E02000024,Barnet,10,8.781205333333334,8.812666666666667,0.031461333333332675,0.0,472.0,751.0,622.0,-472.0,0.0,0.0
E02000025,Barnet,8,16.281726799999998,16.2676,-0.01412679999999611,176.0,173.0,679.0,499.0,3.0,1.0173410404624277,25.920471281296027
E02000026,Barnet,10,9.58893975,10.870750000000001,1.2818102500000013,0.0,226.0,435.0,312.0,-226.0,0.0,0.0
E02000027,Barnet,6,21.058396666666667,22.401,1.342603333333333,339.0,82.0,536.0,402.0,257.0,4.134146341463414,63.24626865671642
E02000028,Barnet,9,12.813476999999999,12.6065,-0.2069769999999984,77.0,405.0,539.0,564.0,-328.0,0.19012345679012346,14.285714285714285
E02000029,Barnet,8,13.631214,15.6478,2.016586,169.0,208.0,711.0,527.0,-39.0,0.8125,23.769338959212376
E02000030,Barnet,9,12.586151166666667,13.114833333333332,0.5286821666666643,23.0,313.0,561.0,481.0,-290.0,0.07348242811501597,4.09982174688057
E02000031,Barnet,9,10.320365599999999,9.03,-1.2903655999999994,45.0,321.0,642.0,472.0,-276.0,0.14018691588785046,7.009345794392523
E02000032,Barnet,10,7.917868400000001,8.331999999999999,0.4141315999999984,0.0,340.0,379.0,416.0,-340.0,0.0,0.0
E02000033,Barnet,7,18.826558,18.0588,-0.767757999999997,225.0,187.0,520.0,511.0,38.0,1.2032085561497325,43.269230769230774
E02000034,Barnet,8,14.700139400000001,12.4586,-2.2415394000000006,136.0,301.0,630.0,690.0,-165.0,0.45182724252491696,21.58730158730159
E02000035,Barnet,8,13.8967664,13.252600000000001,-0.6441663999999996,179.0,312.0,821.0,829.0,-133.0,0.5737179487179487,21.8026796589525
E02000036,Barnet,8,17.157709,16.2515,-0.9062090000000005,99.0,268.0,584.0,627.0,-169.0,0.3694029850746269,16.95205479452055
E02000037,Barnet,8,14.989475833333335,11.291166666666667,-3.698309166666668,108.0,221.0,625.0,521.0,-113.0,0.48868778280542985,17.28
E02000038,Barnet,8,15.607091666666667,15.811833333333334,0.20474166666666704,90.0,379.0,812.0,750.0,-289.0,0.23746701846965698,11.083743842364532
E02000039,Barnet,9,10.868991,10.53275,-0.33624099999999935,22.0,258.0,537.0,412.0,-236.0,0.08527131782945736,4.0968342644320295
E02000040,Barnet,7,18.05744275,15.750250000000001,-2.3071927499999987,338.0,144.0,791.0,492.0,194.0,2.3472222222222223,42.7307206068268
E02000041,Barnet,7,17.778252000000002,18.5208,0.7425479999999993,270.0,233.0,646.0,583.0,37.0,1.1587982832618027,41.795665634674926
E02000042,Barnet,8,16.20734,14.8745,-1.3328399999999991,166.0,397.0,1119.0,1050.0,-231.0,0.4181360201511335,14.83467381590706
E02000043,Barnet,10,8.2839764,7.3962,-0.8877763999999999,0.0,454.0,518.0,499.0,-454.0,0.0,0.0
E02000044,Barnet,6,23.0210196,23.834200000000003,0.8131804000000038,235.0,145.0,512.0,497.0,90.0,1.6206896551724137,45.8984375
E02000045,Barnet,6,22.11035166666667,20.138499999999997,-1.971851666666673,329.0,250.0,773.0,794.0,79.0,1.316,42.5614489003881
E02000046,Barnet,8,14.184187499999998,12.43975,-1.7444374999999983,148.0,411.0,749.0,831.0,-263.0,0.36009732360097324,19.759679572763687
E02000047,Barnet,5,26.25945333333333,26.3125,0.05304666666667046,484.0,124.0,866.0,850.0,360.0,3.903225806451613,55.8891454965358
E02000048,Barnet,9,12.3057776,12.468,0.1622223999999992,64.0,492.0,689.0,743.0,-428.0,0.13008130081300814,9.288824383164005
E02000049,Barnet,2,37.335024,35.8512,-1.4838239999999985,430.0,27.0,543.0,504.0,403.0,15.925925925925926,79.18968692449356
E02000050,Barnet,6,21.830268166666666,18.220499999999998,-3.6097681666666688,438.0,184.0,794.0,774.0,254.0,2.380434782608696,55.16372795969773
E02000051,Barnet,9,12.8546876,10.2584,-2.5962876,120.0,589.0,800.0,873.0,-469.0,0.2037351443123939,15.0
E02000052,Barnet,8,16.896451666666668,12.220500000000001,-4.675951666666666,194.0,537.0,959.0,951.0,-343.0,0.3612662942271881,20.229405630865486
E02000053,Barnet,6,21.248153333333335,20.275399999999998,-0.9727533333333369,0.0,0.0,0.0,0.0,0.0,,
E02000054,Barnet,8,15.1233975,16.443,1.319602500000002,151.0,503.0,765.0,849.0,-352.0,0.30019880715705766,19.73856209150327
E02000055,Barnet,7,18.198875,15.539000000000001,-2.6598749999999995,485.0,558.0,1389.0,1535.0,-73.0,0.8691756272401434,34.91720662347012
E02000056,Barnet,10,9.041926,8.118,-0.9239259999999998,0.0,549.0,746.0,731.0,-549.0,0.0,0.0
E02000057,Barnet,8,15.863715000000001,13.831,-2.0327150000000014,173.0,448.0,775.0,835.0,-275.0,0.3861607142857143,22.322580645161292
E02000058,Barnet,10,10.285124833333333,10.081333333333333,-0.20379149999999946,0.0,745.0,944.0,920.0,-745.0,0.0,0.0
E02000059,Barnet,5,24.816316666666665,22.362666666666666,-2.4536499999999997,547.0,240.0,1072.0,1215.0,307.0,2.279166666666667,51.026119402985074
E02000060,Barnet,9,12.445101666666666,15.246833333333333,2.801731666666667,94.0,588.0,949.0,1147.0,-494.0,0.1598639455782313,9.905163329820864
E02000061,Barnet,9,11.763913200000001,13.7724,2.0084867999999982,101.0,669.0,1080.0,1113.0,-568.0,0.15097159940209268,9.351851851851851
E02000062,Barnet,4,30.03649,33.443999999999996,3.407509999999995,273.0,142.0,551.0,718.0,131.0,1.9225352112676057,49.546279491833026
E02000063,Barnet,7,20.5336675,22.8265,2.2928324999999994,163.0,390.0,577.0,773.0,-227.0,0.41794871794871796,28.249566724436743
E02000064,Barnet,6,23.0265525,22.33325,-0.6933025000000015,265.0,285.0,678.0,721.0,-20.0,0.9298245614035088,39.08554572271387
E02000065,Bexley,6,23.954655000000002,20.6815,-3.2731550000000027,70.0,333.0,475.0,477.0,-263.0,0.21021021021021022,14.736842105263156
E02000066,Bexley,4,32.600928333333336,28.73,-3.8709283333333353,195.0,192.0,477.0,545.0,3.0,1.015625,40.88050314465409
E02000067,Bexley,5,27.705133999999997,25.4846,-2.220533999999997,297.0,258.0,744.0,620.0,39.0,1.1511627906976745,39.91935483870967
E02000068,Bexley,4,28.9580125,28.070999999999998,-0.8870125000000009,227.0,164.0,569.0,590.0,63.0,1.3841463414634145,39.894551845342704
E02000069,Bexley,7,20.2833525,19.387999999999998,-0.8953525000000013,121.0,251.0,545.0,403.0,-130.0,0.4820717131474104,22.201834862385322
E02000070,Bexley,8,13.6237608,13.2614,-0.3623607999999994,105.0,148.0,438.0,310.0,-43.0,0.7094594594594594,23.972602739726025
E02000071,Bexley,8,17.2204168,17.6524,0.43198320000000123,86.0,208.0,413.0,360.0,-122.0,0.41346153846153844,20.823244552058114
E02000072,Bexley,3,34.38175714285715,31.800857142857144,-2.5809000000000033,510.0,48.0,879.0,625.0,462.0,10.625,58.02047781569966
E02000073,Bexley,10,8.510438285714285,8.347428571428571,-0.16300971428571387,0.0,264.0,435.0,369.0,-264.0,0.0,0.0
E02000074,Bexley,4,30.925378000000002,29.85,-1.0753780000000006,188.0,80.0,381.0,321.0,108.0,2.35,49.343832020997375
E02000075,Bexley,10,9.4872812,9.1746,-0.3126812000000001,0.0,236.0,361.0,299.0,-236.0,0.0,0.0
E02000077,Bexley,8,14.3356422,12.4078,-1.9278422000000006,110.0,131.0,477.0,399.0,-21.0,0.8396946564885496,23.060796645702304
E02000078,Bexley,9,11.110277,10.4048,-0.7054770000000001,49.0,182.0,411.0,277.0,-133.0,0.2692307692307692,11.922141119221411
E02000079,Bexley,9,12.863132799999999,12.970400000000001,0.10726720000000256,129.0,265.0,762.0,522.0,-136.0,0.4867924528301887,16.92913385826772
E02000080,Bexley,9,12.142843166666667,11.516166666666665,-0.6266765000000021,83.0,268.0,495.0,481.0,-185.0,0.30970149253731344,16.767676767676768
E02000081,Bexley,8,14.712399,16.2214,1.5090009999999996,155.0,141.0,488.0,367.0,14.0,1.099290780141844,31.762295081967213
E02000082,Bexley,10,9.344359166666667,8.834666666666667,-0.5096924999999999,0.0,300.0,555.0,406.0,-300.0,0.0,0.0
E02000083,Bexley,6,21.591526666666667,21.50583333333333,-0.08569333333333518,240.0,133.0,584.0,435.0,107.0,1.8045112781954886,41.0958904109589
E02000084,Bexley,10,8.798323,9.082857142857142,0.28453414285714196,0.0,295.0,602.0,496.0,-295.0,0.0,0.0
E02000085,Bexley,9,11.5616652,11.478200000000001,-0.08346519999999913,118.0,187.0,533.0,401.0,-69.0,0.6310160427807486,22.138836772983115
E02000086,Bexley,10,7.0943888,7.5032,0.4088111999999997,0.0,263.0,398.0,403.0,-263.0,0.0,0.0
E02000087,Bexley,10,6.923342600000001,7.698599999999999,0.7752573999999983,0.0,191.0,481.0,306.0,-191.0,0.0,0.0
E02000088,Bexley,10,9.4688282,8.983,-0.48582820000000027,0.0,218.0,403.0,368.0,-218.0,0.0,0.0
