msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21
E02000001,City of London,9,8,11.60106775,14.805,22822.25,20275.166666666668,0.702612215996552,0.6173172167417692,-0.08529499925478279,3.2039322499999994,33.0,785.0,692,857,1549,818.0,16.72369270497095,-752.0,4.76878612716763,28.0,789.0,1296.0,1043.0,2339.0,817.0,9.445061992304403,-761.0,2.1604938271604937
E02000002,Barking and Dagenham,1,1,42.8781925,34.585750000000004,4383.25,6621.5,0.1349439689674281,0.20160455486542442,0.06666058589799631,-8.292442499999993,495.0,0.0,581,395,976,495.0,0.0,495.0,85.19793459552496,335.0,0.0,420.0,365.0,785.0,335.0,0.0,335.0,79.76190476190477
E02000003,Barking and Dagenham,5,4,25.41016,24.88083333333333,10768.5,11123.166666666666,0.3315220737639308,0.3386666260707181,0.007144552306787344,-0.5293266666666696,230.0,380.0,738,669,1407,610.0,62.117981520966595,-150.0,31.16531165311653,210.0,332.0,766.0,745.0,1511.0,542.0,46.14162806088683,-122.0,27.415143603133156
E02000004,Barking and Dagenham,6,4,22.7335325,23.954250000000002,12519.0,12229.0,0.3854134597623299,0.3723358908780904,-0.013077568884239499,1.2207175000000028,114.0,133.0,447,256,703,247.0,21.56756756756757,-19.0,25.503355704697988,112.0,127.0,456.0,322.0,778.0,239.0,18.282776349614394,-15.0,24.561403508771928
E02000005,Barking and Dagenham,3,2,32.804145999999996,30.9286,7168.2,8005.2,0.2206822240009852,0.24373401534526856,0.023051791344283368,-1.8755459999999964,264.0,176.0,661,523,1184,440.0,39.24324324324324,88.0,39.93948562783661,321.0,126.0,731.0,577.0,1308.0,447.0,30.922018348623855,195.0,43.912448700410394
E02000007,Barking and Dagenham,2,1,40.54034,36.473400000000005,4631.8,5745.6,0.1425958992672865,0.17493606138107415,0.03234016211378765,-4.066939999999995,522.0,115.0,890,551,1441,637.0,41.65857043719639,407.0,58.651685393258425,359.0,73.0,644.0,647.0,1291.0,432.0,20.299767621998452,286.0,55.74534161490683
E02000008,Barking and Dagenham,3,1,35.527414285714286,34.80271428571429,6039.142857142857,6181.714285714285,0.1859227528213428,0.1882144162012631,0.0022916633799203168,-0.7246999999999986,295.0,309.0,867,764,1631,604.0,55.889025137952174,-14.0,34.02537485582468,244.0,168.0,772.0,625.0,1397.0,412.0,29.342877594846097,76.0,31.606217616580313
E02000009,Barking and Dagenham,4,1,30.546723333333333,36.208499999999994,8098.5,5592.5,0.24932270180407612,0.17027463159176714,-0.07904807021230897,5.661776666666661,286.0,407.0,795,669,1464,693.0,79.50956284153006,-121.0,35.9748427672956,204.0,337.0,768.0,704.0,1472.0,541.0,46.703804347826086,-133.0,26.5625
E02000010,Barking and Dagenham,3,1,34.724326000000005,34.6806,6348.2,6055.0,0.19543747306200357,0.18435635123614663,-0.011081121825856938,-0.04372600000000659,189.0,236.0,632,567,1199,425.0,37.201000834028356,-47.0,29.90506329113924,198.0,167.0,526.0,507.0,1033.0,365.0,32.00968054211036,31.0,37.6425855513308
E02000011,Barking and Dagenham,5,4,25.54057,25.48575,10481.5,10725.75,0.32268641093528727,0.32656649616368283,0.003880085228395558,-0.054819999999999425,63.0,234.0,514,426,940,297.0,15.682978723404256,-171.0,12.2568093385214,81.0,242.0,411.0,430.0,841.0,323.0,23.30796670630202,-161.0,19.708029197080293
