msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt,Delta_Net_Cascade,Delta_CFI_Churn,Delta_CFI_Rate,Delta_Pct_Inflow_Wealthier,Delta_Net_Counter,Delta_Counter_Churn,Delta_Counter_Rate,Delta_Pct_Outflow_Wealthier,Cascade_Dominance_11,Cross_Decile_Share_11,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_11,Sign_Concordance_21,Delta_Cascade_Dominance,Delta_Cross_Decile_Share,Wealth_Decile_National,Inflow_Wealthier_nat_11,Outflow_Poorer_nat_11,Outflow_Wealthier_nat_11,Inflow_Poorer_nat_11,Total_Inflow_nat_11,Total_Outflow_nat_11,Ext_Inflow_nat_11,Ext_Outflow_nat_11,Total_Migration_nat_11,CFI_Churn_nat_11,CFI_Rate_nat_11,Net_Cascade_nat_11,Pct_Inflow_Wealthier_nat_11,Counter_Churn_nat_11,Counter_Rate_nat_11,Net_Counter_nat_11,Cascade_Dominance_nat_11,Ext_Net_nat_11,Inflow_Wealthier_nat_21,Outflow_Poorer_nat_21,Outflow_Wealthier_nat_21,Inflow_Poorer_nat_21,Total_Inflow_nat_21,Total_Outflow_nat_21,Ext_Inflow_nat_21,Ext_Outflow_nat_21,Total_Migration_nat_21,CFI_Churn_nat_21,CFI_Rate_nat_21,Net_Cascade_nat_21,Pct_Inflow_Wealthier_nat_21,Counter_Churn_nat_21,Counter_Rate_nat_21,Net_Counter_nat_21,Cascade_Dominance_nat_21,Ext_Net_nat_21
E02000001,City of London,9,8,10.7001903992737,14.720484223119485,876.0,712.0,0.8920570264765784,0.725050916496945,-0.1670061099796334,4.020293823845785,30.0,783.0,692,857,1549,813.0,15.164622336991608,-753.0,4.335260115606936,28.0,901.0,1206,979,2185,929.0,11.545995423340962,-873.0,2.321724709784411,24.0,615.0,639.0,9.528728211749517,-591.0,2.8004667444574096,8.0,1096.0,1104.0,4.012814645308924,-1088.0,0.8171603677221655,-637.0,141.0,778.0,-120.0,116.0,-3.6186269136506457,-2.0135354058225254,-497.0,465.0,-5.5159135664405925,-1.983306376735244,0.5599173553719008,0.9373789541639768,0.4569601574028529,0.9304347826086956,concordant,concordant,-0.1029571979690478,-0.0069441715552811,8,27,1120,20,1129,1185,1175,493,318,2360,1147,12.813559322033898,-1093,2.278481012658228,1149,9.567796610169491,-1109,0.49956445993031356,175,27,1340,5,1510,1576,1387,370,408,2963,1367,12.210597367532905,-1313,1.7131979695431472,1515,2.5480931488356395,-1505,0.47432338653712697,-38
E02000002,Barking and Dagenham,1,1,43.42144398081181,34.76755983195555,83.0,83.0,0.0845213849287169,0.0845213849287169,0.0,-8.653884148856257,497.0,0.0,581,395,976,497.0,0.0,497.0,85.54216867469879,351.0,0.0,413,360,773,351.0,0.0,351.0,84.98789346246973,344.0,0.0,344.0,0.0,344.0,87.0886075949367,309.0,0.0,309.0,0.0,309.0,85.83333333333333,319.0,319.0,0.0,-146.0,-146.0,0.0,-0.554275212229058,-35.0,-35.0,0.0,-1.2552742616033754,0.5909631391200951,0.8616803278688525,0.5318181818181819,0.8538163001293662,concordant,concordant,-0.0591449573019132,-0.0078640277394863,1,539,0,477,0,630,528,49,133,1158,539,0.0,539,85.55555555555556,477,0.0,477,0.530511811023622,-84,404,0,535,0,473,589,60,229,1062,404,0.0,404,85.41226215644821,535,0.0,535,0.43024494142705005,-169
E02000003,Barking and Dagenham,5,4,25.643614588352413,25.149725932835818,458.0,354.0,0.4663951120162933,0.3604887983706721,-0.1059063136456212,-0.4938886555165958,229.0,380.0,738,669,1407,609.0,61.84790334044065,-151.0,31.029810298102984,249.0,362.0,759,728,1487,611.0,60.61735036987223,-113.0,32.80632411067194,244.0,470.0,714.0,81.50675195451315,-226.0,36.47234678624813,332.0,478.0,810.0,106.72225958305312,-146.0,45.604395604395606,-8.0,302.0,310.0,38.0,2.0,-1.230552970568425,1.776513812568954,80.0,96.0,25.215507628539967,9.132048818147474,0.4603174603174603,0.9402985074626866,0.4299788881069669,0.9556153328850032,concordant,concordant,-0.0303385722104933,0.0153168254223167,4,296,405,391,481,858,882,120,213,1740,701,68.89655172413794,-109,34.4988344988345,872,108.0867816091954,-90,0.445645263827082,-93,264,376,676,490,856,1143,97,415,1999,640,49.656828414207105,-112,30.8411214953271,1166,165.70285142571285,186,0.35437430786268,-318
E02000004,Barking and Dagenham,6,5,22.60185641216435,23.560044369645045,546.0,400.0,0.5560081466395111,0.4073319755600815,-0.1486761710794296,0.9581879574806962,120.0,133.0,447,256,703,253.0,22.7027027027027,-13.0,26.845637583892614,112.0,129.0,446,308,754,241.0,19.161803713527853,-17.0,25.112107623318387,111.0,295.0,406.0,46.578947368421055,-184.0,43.359375,165.0,301.0,466.0,65.86870026525199,-136.0,53.57142857142857,18.0,143.0,125.0,-4.0,-12.0,-3.540898989174849,-1.7335299605742271,48.0,60.0,19.289752896830933,10.21205357142857,0.3839150227617602,0.937411095305832,0.3408769448373409,0.9376657824933688,concordant,concordant,-0.0430380779244193,0.0002546871875366,4,188,121,255,261,515,396,68,140,911,309,24.970362239297476,67,36.50485436893204,516,73.05708013172338,-6,0.37454545454545457,-72,191,122,400,265,512,542,66,234,1054,313,22.108159392789375,69,37.3046875,665,100.56925996204933,135,0.32004089979550104,-168
E02000005,Barking and Dagenham,4,3,32.39406328077552,30.212965379205887,300.0,198.0,0.3054989816700611,0.2016293279022403,-0.1038696537678207,-2.181097901569633,212.0,274.0,661,523,1184,486.0,49.060810810810814,-62.0,32.07261724659607,273.0,207.0,700,539,1239,480.0,45.610169491525426,66.0,39.0,178.0,395.0,573.0,59.383445945945944,-217.0,34.03441682600382,283.0,339.0,622.0,77.43099273607749,-56.0,52.50463821892394,106.0,310.0,204.0,128.0,-6.0,-3.4506413192853884,6.927382753403933,161.0,49.0,18.04754679013154,18.470221392920116,0.4589235127478753,0.8944256756756757,0.4355716878402904,0.8894269572235673,concordant,divergent,-0.0233518249075849,-0.0049987184521083,3,263,274,397,389,724,753,63,230,1477,537,48.78943805010156,-11,36.32596685082873,786,104.55856465809073,8,0.40589569160997735,-167,324,204,631,327,792,924,92,385,1716,528,38.51748251748252,120,40.909090909090914,958,120.24300699300699,304,0.3553162853297443,-293
E02000007,Barking and Dagenham,2,1,40.31009679672392,36.007463265728475,129.0,63.0,0.1313645621181262,0.0641547861507128,-0.0672097759674134,-4.302633530995443,514.0,115.0,890,551,1441,629.0,41.02012491325468,399.0,57.752808988764045,380.0,82.0,628,630,1258,462.0,24.76947535771065,298.0,60.509554140127385,352.0,162.0,514.0,39.57251908396947,190.0,63.883847549909255,436.0,138.0,574.0,47.828298887122415,298.0,69.2063492063492,404.0,404.0,0.0,-101.0,-167.0,-16.250649555544033,2.75674515136334,108.0,60.0,8.255779803152947,5.322501656439947,0.5503062117235346,0.7931991672449688,0.4459459459459459,0.8235294117647058,concordant,concordant,-0.1043602657775886,0.030330244519737,2,483,122,501,170,1019,785,129,234,1804,605,32.66407982261641,361,47.399411187438666,671,47.211751662971174,331,0.47413793103448276,-105,373,85,669,143,722,950,94,320,1672,458,18.96232057416268,288,51.66204986149584,812,57.2171052631579,526,0.3606299212598425,-226
E02000008,Barking and Dagenham,3,1,35.556605736018675,34.4495850024426,210.0,92.0,0.2138492871690427,0.0936863543788187,-0.120162932790224,-1.1070207335760711,343.0,309.0,867,764,1631,652.0,64.98283261802575,34.0,39.561707035755475,290.0,172.0,753,604,1357,462.0,36.757553426676495,118.0,38.51261620185923,343.0,390.0,733.0,82.01716738197425,-47.0,44.89528795811518,354.0,356.0,710.0,92.8695652173913,-2.0,58.609271523178805,522.0,522.0,0.0,84.0,-190.0,-28.22527919134926,-1.049090833896244,45.0,-23.0,10.852397835417053,13.71398356506362,0.4707581227436823,0.8491722869405273,0.39419795221843,0.8636698599852616,divergent,divergent,-0.0765601705252522,0.0144975730447343,2,449,130,665,164,967,1082,100,318,2049,579,28.487066861883847,319,46.43226473629783,829,53.225963884821866,501,0.4112215909090909,-218,383,71,814,158,843,1063,90,459,1906,454,14.267051416579223,312,45.43297746144721,972,67.47743966421825,656,0.31837307152875177,-369
E02000009,Barking and Dagenham,4,1,30.95492824538416,36.33654626808835,341.0,57.0,0.3472505091649694,0.0580448065173116,-0.2892057026476579,5.381618022704188,284.0,385.0,795,669,1464,669.0,74.68579234972678,-101.0,35.72327044025157,214.0,303.0,729,663,1392,517.0,46.581896551724135,-89.0,29.35528120713306,221.0,422.0,643.0,63.70355191256831,-201.0,33.03437967115097,268.0,424.0,692.0,81.63218390804597,-156.0,40.42232277526395,532.0,532.0,0.0,12.0,-152.0,-28.103895798002647,-6.367989233118507,45.0,49.0,17.928631995477666,7.387943104112978,0.5099085365853658,0.8961748633879781,0.4276261373035566,0.8685344827586207,concordant,concordant,-0.0822823992818092,-0.0276403806293574,3,394,385,391,416,917,851,122,182,1768,779,85.7975113122172,9,42.966194111232284,807,92.0,-25,0.4911727616645649,-60,346,300,670,416,869,1078,140,415,1947,646,53.312788906009246,46,39.81588032220944,1086,143.15356959424756,254,0.3729792147806005,-275
E02000010,Barking and Dagenham,3,1,35.01250658502612,34.49335914640853,228.0,89.0,0.2321792260692464,0.0906313645621181,-0.1415478615071283,-0.5191474386175869,213.0,236.0,632,567,1199,449.0,41.924937447873226,-23.0,33.70253164556962,223.0,166.0,522,487,1009,389.0,36.68780971258672,57.0,42.72030651340996,258.0,312.0,570.0,67.13594662218516,-54.0,45.5026455026455,235.0,245.0,480.0,57.06144697720515,-10.0,48.25462012320328,341.0,341.0,0.0,80.0,-60.0,-5.237127735286506,9.017774867840338,44.0,-90.0,-10.074499644980008,2.7519746205577817,0.4406280667320902,0.8498748957464554,0.4476409666283084,0.8612487611496531,concordant,divergent,0.0070128998962181,0.0113738654031977,2,298,98,455,150,712,764,80,197,1476,396,19.78590785907859,200,41.853932584269664,605,46.239837398373986,305,0.3956043956043956,-117,330,78,593,115,620,835,98,348,1455,408,17.690721649484537,252,53.2258064516129,708,46.86941580756014,478,0.3655913978494624,-250
E02000011,Barking and Dagenham,5,4,25.69644999353483,25.713968791598877,454.0,339.0,0.4623217922606925,0.345213849287169,-0.1171079429735234,0.0175187980640423,63.0,234.0,514,426,940,297.0,15.682978723404256,-171.0,12.2568093385214,79.0,248.0,413,429,842,327.0,23.268408551068884,-169.0,19.128329297820823,166.0,436.0,602.0,76.99574468085106,-270.0,38.967136150234744,118.0,314.0,432.0,44.00475059382423,-196.0,27.505827505827508,-124.0,112.0,236.0,2.0,30.0,7.585429827664628,6.871519959299423,74.0,-170.0,-32.990994087026834,-11.461308644407236,0.3303670745272525,0.9563829787234044,0.4308300395256917,0.9014251781472684,concordant,concordant,0.1004629649984392,-0.0549578005761358,4,99,246,321,444,572,623,58,197,1195,345,20.379916317991633,-147,17.307692307692307,765,119.26694560669456,-123,0.3108108108108108,-139,112,271,325,323,464,664,51,235,1128,383,26.907801418439718,-159,24.137931034482758,648,93.06294326241135,2,0.37148399612027155,-184
